Team Name,Captain,Institution,TDP,Poster,Robot Name,Robot Photo
Warthog Robotics @Home	,Rhayna Casado	                        ,Universidade de São Paulo	                ,TDPs/warthog.pdf       ,Posters/warthog.pdf            ,Antares         ,Photos/robots/antares.png
BahiaRT	                ,Gabrielle Ferreira de Souza Carvalho	,Universidade do Estado da Bahia (UNEB)	    ,TDPs/bahiart.pdf       ,Posters/bahiart.pdf            ,Bill Estranho   ,Photos/robots/Bill.jpg
FBOT@Home	            ,Pedro Edom Nunes	                    ,Universidade Federal do Rio Grande - FURG	,TDPs/fbot.pdf          ,Posters/fbot.pdf               ,BORIS           ,Photos/robots/boris.png
RoboFEI@Home	        ,Gabriela Bassegio	                    ,Centro Universitario FEI	                ,TDPs/robofei.pdf       ,Posters/robofei.pdf            ,HERA            ,Photos/robots/HERA.png
Ada Robotics	        ,Leonardo Contador Neves	            ,Garage	                                    ,TDPs/ada.pdf           ,Posters/ada.pdf                ,Athena          ,Photos/robots/athena.png
MIMOSO@Home	            ,Murilo Castanheira Bicho	            ,No Institution/ Garage 	                ,TDPs/mimoso.pdf        ,Posters/mimoso.pdf             ,MIMOSO          ,Photos/robots/MIMOSO.png
Pequi Mecânico	        ,José Rafael Rebêlo Teles	            ,UFG	                                    ,TDPs/pmec.pdf          ,Posters/pmec.pdf               ,Miss Piggy      ,Photos/robots/miss_piggy.jpeg
UTBots	                ,Gustavo Fardo Armênio	                ,UTFPR	                                    ,TDPs/utbots.pdf        ,Posters/utbots.pdf             ,HESTIA          ,Photos/robots/HESTIA.jpeg
Mecha Electra	        ,Felipe Trentin	                        ,UNESP Sorocaba	                            ,TDPs/mecha.pdf         ,Posters/mecha.pdf              ,Mecha Electra   ,Photos/robots/Mecha_Electra.jpeg
UnipDroidians 	        ,Ramon Kainã Ferreira dos Santos 	    ,Universidade Paulista 	                    ,TDPs/unipdroidians.pdf ,Posters/unipdroidians.pdf      ,UD - H1         ,Photos/robots/UD-H1.jpeg